ASOCIACION,SIGLAS,TIPO,DOMICILIO,CP,PREFIJO,TELEFONO,E-MAIL,DISTRITO, CLASIFICADA EN
PEÑA PENDONES,,festiva,,,,635 46 59 66,,,PEÑAS
PEÑA PICHIS,,festiva,C/ DAOIZ Y VELARDE 3,28807,,689 35 15 65,www.a.c.lospichis.es,VII,PEÑAS
PEÑA PITO,,festiva,C/ RONDA FISCAL 42 6º C,28803,,630 60 24 06,elpitoalcala@hotmail.com,III,PEÑAS
PEÑA PRESIDIARIOS,,festiva,C/ CALDERON DE LA BARCA 6 8º B,28805,,635 55 85 30,www.gruagrua.com,V,PEÑAS
PEÑA PUERTA DE ALCALA,,festiva,C/ JUAN DE VERGARA 21 3º B,28802,,625 65 07 37,,II,PEÑAS
PEÑA REYES FAMOSOS,,festiva,C/ GARDENIA S/N,28803,91,888 46 71,,III,PEÑAS
PEÑA TAURINA JESUS ROMERO,,taurina,C/ CORINTO 2,28804,91,883 34 09,,V,PEÑAS
PEÑA TAURINA LUIS MIGUEL ENCABO,,taurina,CAMINO DEL JUNCAL 12,28802,,617 35 23 15,tobus@vodafone.com,II,PEÑAS
PEÑA TAURINA MATIAS TEJELA,,taurina,C/ LEANDRO FERNANDEZ MORATIN 3,28805,91,882 91 72,famerino@nsn.com,VI,PEÑAS
PEÑA TAURINA MEDJURGORJE,,taurina,CLUB SUBOFICIALES MIGUEL DE CERVANTES CARRETERA DE MECO S/N,28805,91,882 67 89,,VI,PEÑAS
PEÑA TAURINA REGINO ORTES,,taurina,C/ GALLEGOS 13 BAR EL TIGRE,28807,91,881 99 01,,VII,PEÑAS
PEÑA TAURINA TERCIO DE QUITES,,taurina,C/ LA LANZA S/N,28805,91,880 33 77,,VI,PEÑAS
PEÑA VIKINGOS,,festiva,APARTADO DE CORREOS 2041,28801,,696 69 17 65,vikingos@vikingos.net,I,PEÑAS
PEÑA WOKY,,festiva,C/ RIO ERESMA 2 2º D,28804,,615 57 76 62,,IV,PEÑAS
PEÑA ZAPATO,,festiva,C/ ANDREA DORIA 8,28804,,,,V,PEÑAS
COMISIONES OBRERAS,CCOO,sindicatos,VIA COMPLUTENSE 19,28807,91,280 06 52,corredorccoo@mi.madritel.es,VII,POLITICAS
IZQUIERDA UNIDA,IU,partidos políticos con representación municipal ,C/ NUEVO BAZTAN 14,28806,91,881 92 19,iualcaladehenares@yahoo.es,VIII,POLITICAS
PARTIDO POPULAR,PP,partidos políticos con representación municipal ,PLAZA DE CERVANTES 29 1º CENTRO,28801,91,889 20 33,partidopopular.alcala@terra.es,I,POLITICAS
PARTIDO SOCIALISTA OBRERO ESPAÑOL,PSOE,partidos políticos con representación municipal ,C/ RIO MIÑO 3 Bº IZQ,28804,91,883 26 66,psoe@socialistasdealcala.org,IV,POLITICAS
UNION GENERAL DE TRABAJADORES,UGT,sindicatos,C/ SIMON GARCIA DE PEDRO 2,28805,91,888 08 18,uceste@madrid.ugt.org,VI,POLITICAS
ACCION CATOLICA GENERAL DE INFANCIA,,,C/ DOCTORA DE ALCALA S/N PARROQUIA SAN ISIDRO,28807,,626 84 09 02,cd_alcala@yahoo.es,VII,RELIGIOSAS
ASOCIACION DE LOS SANTOS NIÑOS JUSTO Y PASTOR,,,C/ EMPECINADO S/N MAGISTRAL,28801,91,888 09 30,,I,RELIGIOSAS
ASOCIACION DIOCESANA DE ALCALA,ADAL,,PLAZA PALACIO S/N,28801,91,882 72 92,infanciajuventud@obispadoalcala.org,I,RELIGIOSAS
ASOCIACION JUVENIL LAS NAVES,,,C/ RIO TAJUÑA 2,28803,91,882 26 44,lasnaves@valdoco.com,III,RELIGIOSAS
ASOCIACION Mª AUXILIADORA,,,C/ CARDENAL CISNEROS 5-7 C JUVENIL CISNEROS,28801,,617 77 81 86,juanmaytoni@salesianosalcala.com,I,RELIGIOSAS
CARITAS DIOCESANA DE ALCALA DE HENARES,,,VIA COMPLUTENSE 8,28802,91,883 20 45,caritasalcala@telefonica.net,I,RELIGIOSAS
CASA DE CULTURA Y SOLIDARIDAD,CYS,,C/ PINTOR PICASSO 14,28807,,676 43 52 77,alcala@solidaridad.net,VII,RELIGIOSAS
CENTRO JUVENIL CISNEROS,,,C/ CARDENAL CISNEROS 5-7,28801,91,888 04 97,cisneros@valdoco.com,I,RELIGIOSAS
CENTRO JUVENIL SAN FRANCISCO,,,AVDA REYES CATOLICOS 26,28802,91,889 06 69,,II,RELIGIOSAS
CENTRO OBRERO CATOLICO,,,C/ NUEVA 6 3º A,28801,,696 58 09 86,,I,RELIGIOSAS
COMUNIDAD BAHA'I DE ALCALA DE HENARES,,,APARTADO DE CORREOS 324,28800,91,881 44 20,isaalche@arrakis.es,V,RELIGIOSAS
EALA ESCUELA DE TIEMPO LIBRE,EALA,,AVDA DE LOS JESUITAS 34,28805,91,889 09 59,eala@navegalia.com,VI,RELIGIOSAS
"FUNDACION BENEFICO SOCIAL ""CRISTO DE LA PAZ""",,,PASEO DE LOS CURAS 26,28803,91,889 38 39,,III,RELIGIOSAS
HERMANDAD DE NUESTRA SEÑORA DEL ROCIO DE ALCALA DE HENARES,,,C/ RIO EBRO 19,28804,91,883 42 48,secretaria@rocio-alcalahenares.com,IV,RELIGIOSAS
ILUSTRE COFRADIA NUESTRA SEÑORA DEL VAL,,,AVDA VIRGEN DEL VAL 69 HERMITA VAL,28804,,677 54 80 63,,V,RELIGIOSAS
JOVENES DE ACCION CATOLICA,JAC,,C/ DOCTORA DE ALCALA S/N PARROQUIA SAN ISIDRO,28807,,696 33 82 83,cd_alcala@yahoo.es,VII,RELIGIOSAS
JUNTA DE COFRADIAS,,,C/ EMPECINADO S/N MAGISTRAL,28801,91,888 07 07,lggutierrez@telefonica.net,I,RELIGIOSAS
LA SAL DE LA TIERRA,,,C/ MEJORADA DEL CAMPO 5,28806,91,883 39 58,lasalmadrid@terra.es,VIII,RELIGIOSAS
MANOS UNIDAS,,,VIA COMPLUTENSE 8,28802,91,883 35 44,alcaladehenares@manosunidas.org,I,RELIGIOSAS
SOLIDARIDAD Y COOPERACION ENTRE ESPAÑA Y AMERICA LATINA,SOCEALA,,C/ RIO TAJUÑA 5 3ºC,28803,91,881 23 39,info@soceala.org,IV,RELIGIOSAS
CLUB DE JUBILADOS Y PENSIONISTAS CAMPO DEL ANGEL,,,C/ FRAY JUAN GIL S/N,28806,91,882 01 21,,VIII,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS CERVANTES,,,C/ ZULOAGA S/N,28807,91,883 71 13,,VII,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS EL VAL,,,AVDA VIRGEN DEL VAL 21,28804,91,889 61 79,,V,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS GIL DE ANDRADE,,,C/ LUIS DE MADRONA S/N,28805,91,883 69 94,,VI,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS LOS PINOS,,,PASEO DE LOS PINOS S/N,28806,91,881 72 64,,VIII,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS MANUEL AZAÑA,,,PLAZA PABLO IGLESIAS S/N,28803,91,882 32 94,,IV,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS MANUEL MERINO,,,C/ MANUEL MERINO 9,28804,91,883 81 48,,,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS MARIA ZAMBRANO,,,C/ PEDRO DE LERMA S/N,28802,91,882 61 19,,II,TERCERA EDAD
CLUB DE JUBILADOS Y PENSIONISTAS REYES CATOLICOS,,,C/ GARDENIA S/N,28803,91,888 17 27,,III,TERCERA EDAD
ASOCIACION DE MUJERES VECINALES DEL ESTE,AMVE,,C/ EDUARDO PASCUAL Y CUELLAR 1 OFICINA 1ª IZQ,28806,,,MUJER-VECINAL@terra.es,VIII,VECINOS
ASOCIACION DE VECINOS CAMPO DEL ANGEL CHORILLO,,,C/ EDUARDO PASCUAL Y CUELLAR 1,28806,91,880 61 55,,VIII,VECINOS
ASOCIACION DE VECINOS CERVANTES,,,C/ DIEGO LOPEZ DE ZUÑIGA 26 LOCAL,28802,91,882 88 21,,II,VECINOS
ASOCIACION DE VECINOS CISNEROS - DISTRITO III,,,C/ SAN VIDAL 33,28803,91,888 15 01,,III,VECINOS
ASOCIACION DE VECINOS COMPLUTENSE,,,C/ GIL DE ANDRADE 5,28804,91,889 35 13,,VI,VECINOS
ASOCIACION DE VECINOS EL ENSANCHE,,,C/ OCTAVIO PAZ 23 LOCAL 2,28806,91,830 38 29,asociacion@ensanche.net,IX,VECINOS
ASOCIACION DE VECINOS EL VAL,,,AVDA DE CASTILLA 2,28804,,,,V,VECINOS
ASOCIACION DE VECINOS ESPARTALES SUR,,,C/ JACINTO VERDAGUER S/N,28806,91,830 12 61,espartales@espartales.org,VIII,VECINOS
ASOCIACION DE VECINOS LA GARENA,,,C/ LEONARDO TORRES QUEVEDO 68,28806,,669 21 80 81,jaillana1@hotmail.com,VIII,VECINOS
ASOCIACION DE VECINOS SAN ISIDRO,,,C/ DAOIZ Y VELARDE 28 1ª PLANTA,28807,91,881 95 59,,VII,VECINOS
ASOCIACION DE VECINOS TOMAS DE VILLANUEVA,,,C/ OCTAVIO PAZ 15,28806,91,830 55 78,,IX,VECINOS
FEDERACION COMARCAL DE ASOCIACIONES DE VECINOS DE ALCALA DE HENARES,,,C/ EDUARDO PASCUAL Y CUELLAR 1,28806,91,880 61 55,FCAVAH@terra.es,VIII,VECINOS
